"date","state","party","amt"
"2020-03-08","DC","R",300
"2020-03-08","WA","D",4796
"2020-03-08","WA","R",991
"2020-03-08","WV","D",444
"2020-03-08","WV","R",327
"2020-03-08","WI","D",2031
"2020-03-08","WI","R",533
"2020-03-08","WY","D",173
"2020-03-08","WY","R",300
"2020-03-09","AL","D",827
"2020-03-09","AL","R",950
"2020-03-09","AK","D",201
"2020-03-09","AK","R",342
"2020-03-09","AZ","D",2244
"2020-03-09","AZ","R",1462
"2020-03-09","AR","D",610
"2020-03-09","AR","R",590
"2020-03-09","CA","D",13080
"2020-03-09","CA","R",4620
"2020-03-09","CO","D",2329
"2020-03-09","CO","R",1075
"2020-03-09","CT","D",1527
"2020-03-09","CT","R",520
"2020-03-09","DE","D",398
"2020-03-09","DE","R",304
"2020-03-09","FL","D",10922
"2020-03-09","FL","R",4366
"2020-03-09","GA","D",2518
"2020-03-09","GA","R",1664
"2020-03-09","HI","D",321
"2020-03-09","HI","R",300
"2020-03-09","ID","D",440
"2020-03-09","ID","R",492
"2020-03-09","IL","D",6870
"2020-03-09","IL","R",1454
"2020-03-09","IN","D",1483
"2020-03-09","IN","R",1061
"2020-03-09","IA","D",829
"2020-03-09","IA","R",587
"2020-03-09","KS","D",809
"2020-03-09","KS","R",560
"2020-03-09","KY","D",926
"2020-03-09","KY","R",749
"2020-03-09","LA","D",646
"2020-03-09","LA","R",778
"2020-03-09","ME","D",660
"2020-03-09","ME","R",375
"2020-03-09","MD","D",2382
"2020-03-09","MD","R",703
"2020-03-09","MA","D",3543
"2020-03-09","MA","R",808
"2020-03-09","MI","D",9002
"2020-03-09","MI","R",1560
"2020-03-09","MN","D",1701
"2020-03-09","MN","R",852
"2020-03-09","MS","D",4150
"2020-03-09","MS","R",543
"2020-03-09","MO","D",7049
"2020-03-09","MO","R",1067
"2020-03-09","MT","D",308
"2020-03-09","MT","R",386
"2020-03-09","NE","D",398
"2020-03-09","NE","R",450
"2020-03-09","NV","D",729
"2020-03-09","NV","R",624
"2020-03-09","NH","D",551
"2020-03-09","NH","R",391
"2020-03-09","NJ","D",2733
"2020-03-09","NJ","R",1017
"2020-03-09","NM","D",572
"2020-03-09","NM","R",440
"2020-03-09","NY","D",7212
"2020-03-09","NY","R",1955
"2020-03-09","NC","D",3004
"2020-03-09","NC","R",1630
"2020-03-09","ND","D",126
"2020-03-09","ND","R",312
"2020-03-09","OH","D",6134
"2020-03-09","OH","R",1689
"2020-03-09","OK","D",762
"2020-03-09","OK","R",901
"2020-03-09","OR","D",1660
"2020-03-09","OR","R",733
